epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1018,0.62094,0.95871,3.09465,1.00143,0,0.57856,0.16188,0.25495,0.22271,0.57856,0.16188,0.25423,0.23015,0.59507,0.93498,2.76781,0.98448,0,0.000366125,0.000366125,0.000366125
2,135.048,0.67532,0.90893,2.41107,1.03257,0,0.27952,0.43383,0.31398,0.25705,0.27513,0.42374,0.30349,0.24602,0.71933,1.67746,2.09653,1.09834,0,0.000729167,0.000729167,0.000729167
3,192.363,0.73718,0.97612,2.14065,1.05904,0,0.23983,0.46884,0.33458,0.26635,0.22076,0.53077,0.32575,0.2377,0.72506,1.88033,1.88587,1.10801,0,0.00108488,0.00108488,0.00108488
4,249.184,0.74997,1.00574,2.05688,1.05158,0,0.35692,0.49694,0.37328,0.2909,0.35362,0.49452,0.37233,0.31478,0.75563,1.30288,1.84431,1.10874,0,0.001078,0.001078,0.001078
5,305.736,0.73273,0.99093,1.96291,1.03406,0,0.51051,0.40411,0.35402,0.28594,0.51116,0.4081,0.35221,0.29684,0.77135,1.24664,2.00452,1.10453,0,0.001067,0.001067,0.001067
6,362.769,0.69418,0.92257,1.80686,1.02685,0,0.27665,0.42092,0.32372,0.26241,0.30453,0.42498,0.32553,0.27722,0.73149,1.08375,1.88862,1.09378,0,0.00105601,0.00105601,0.00105601
7,419.29,0.69585,0.90484,1.77277,1.03416,0,0.30842,0.51291,0.38467,0.32189,0.30842,0.51291,0.38374,0.32855,0.64968,1.06786,1.78585,1.04437,0,0.00104501,0.00104501,0.00104501
8,475.955,0.64877,0.85111,1.73214,1.00958,0,0.29276,0.46759,0.41344,0.33395,0.27857,0.47629,0.40989,0.35312,0.66527,1.01879,1.88555,1.03994,0,0.00103401,0.00103401,0.00103401
9,532.303,0.68747,0.88315,1.66192,1.02191,0,0.30636,0.56661,0.41077,0.32803,0.30577,0.56109,0.4113,0.34175,0.75909,1.20789,1.55474,1.10443,0,0.00102301,0.00102301,0.00102301
10,588.717,0.64937,0.83723,1.63158,1.00229,0,0.3865,0.59187,0.43731,0.35802,0.38341,0.59022,0.43341,0.36756,0.66852,0.93086,1.54115,1.04437,0,0.00101201,0.00101201,0.00101201
11,644.938,0.64811,0.81217,1.55096,0.99251,0,0.33659,0.41831,0.38331,0.31891,0.3314,0.41759,0.37956,0.32956,0.65678,0.99617,1.67633,1.018,0,0.00100101,0.00100101,0.00100101
12,701.14,0.61118,0.79365,1.50113,0.9817,0,0.36724,0.56755,0.46697,0.39639,0.36322,0.5627,0.46637,0.40786,0.63541,1.05169,1.41462,1.04206,0,0.000990012,0.000990012,0.000990012
13,757.675,0.62271,0.79455,1.45987,0.98274,0,0.61802,0.43659,0.4737,0.41109,0.58625,0.45244,0.4751,0.42154,0.6169,0.97893,1.40173,0.99391,0,0.000979013,0.000979013,0.000979013
14,813.992,0.5987,0.79512,1.43137,0.9724,0,0.33848,0.44623,0.34882,0.26992,0.32843,0.44199,0.34192,0.25661,0.82488,1.86992,1.93792,1.16451,0,0.000968014,0.000968014,0.000968014
15,869.894,0.57555,0.74819,1.40857,0.96993,0,0.61411,0.46649,0.4784,0.41043,0.61213,0.46334,0.47632,0.41844,0.59852,0.91191,1.33132,1.02707,0,0.000957015,0.000957015,0.000957015
16,926.241,0.54469,0.68183,1.35319,0.9643,0,0.38216,0.54938,0.45785,0.39055,0.37181,0.5755,0.45269,0.39021,0.60013,0.98332,1.42531,1.00337,0,0.000946016,0.000946016,0.000946016
17,982.565,0.57646,0.76824,1.34634,0.97503,0,0.63788,0.44531,0.46554,0.4045,0.63788,0.44531,0.46295,0.4093,0.59513,0.95812,1.35768,1.02779,0,0.000935018,0.000935018,0.000935018
18,1039.02,0.52724,0.66711,1.31548,0.94936,0,0.42202,0.64718,0.50799,0.44466,0.41871,0.64417,0.50185,0.44696,0.5432,0.82098,1.2272,0.9983,0,0.000924019,0.000924019,0.000924019
19,1095.06,0.51613,0.68296,1.27545,0.94079,0,0.37645,0.59676,0.48102,0.42002,0.37242,0.59382,0.47188,0.41661,0.5394,0.87879,1.32346,0.97269,0,0.00091302,0.00091302,0.00091302
20,1151.67,0.55057,0.70347,1.28513,0.9486,0,0.37657,0.57614,0.50192,0.43066,0.37871,0.57857,0.50191,0.4425,0.55771,0.84764,1.29207,0.98124,0,0.000902021,0.000902021,0.000902021
21,1207.64,0.53705,0.65593,1.26743,0.95969,0,0.36431,0.59399,0.4796,0.41627,0.36346,0.59248,0.47989,0.42606,0.56879,0.86859,1.32237,0.98904,0,0.000891022,0.000891022,0.000891022
22,1263.84,0.53284,0.72351,1.25855,0.95367,0,0.39314,0.55339,0.50364,0.44018,0.39404,0.55496,0.50325,0.44155,0.52313,0.91585,1.2474,0.96702,0,0.000880023,0.000880023,0.000880023
23,1325,0.519,0.71058,1.25431,0.94688,0,0.34623,0.52961,0.45786,0.4131,0.34309,0.5251,0.45351,0.40963,0.51404,0.99082,1.42228,0.95497,0,0.000869024,0.000869024,0.000869024
24,1388.33,0.52294,0.70349,1.24023,0.9351,0,0.39086,0.61372,0.50062,0.43587,0.39086,0.61722,0.50032,0.44142,0.5408,0.88137,1.29436,0.97422,0,0.000858025,0.000858025,0.000858025
25,1450.64,0.48885,0.62462,1.13061,0.93156,0,0.67389,0.43688,0.50352,0.43278,0.68144,0.42676,0.50285,0.45391,0.54602,0.81594,1.22277,0.96984,0,0.000847026,0.000847026,0.000847026
26,1512.63,0.50582,0.66048,1.15513,0.92969,0,0.37801,0.62834,0.54211,0.48191,0.37695,0.62783,0.54288,0.48228,0.51917,0.86528,1.20402,0.97294,0,0.000836027,0.000836027,0.000836027
27,1575.18,0.51248,0.69557,1.17267,0.94805,0,0.40581,0.5629,0.49424,0.4305,0.40789,0.57117,0.49293,0.43642,0.52034,0.84567,1.44184,0.96978,0,0.000825029,0.000825029,0.000825029
28,1638.02,0.47157,0.65155,1.12265,0.92592,0,0.7727,0.47537,0.51423,0.4501,0.77061,0.4738,0.5124,0.4583,0.52323,0.88878,1.24156,0.97942,0,0.00081403,0.00081403,0.00081403
29,1699.01,0.48262,0.62885,1.13879,0.92901,0,0.49553,0.62047,0.56347,0.49404,0.49553,0.62047,0.55927,0.49909,0.50583,0.8918,1.15007,0.95854,0,0.000803031,0.000803031,0.000803031
30,1760.56,0.49924,0.62438,1.16208,0.9343,0,0.38905,0.51831,0.4714,0.41323,0.40095,0.51576,0.47091,0.42221,0.51966,0.86907,1.30745,0.95908,0,0.000792032,0.000792032,0.000792032
31,1821.72,0.46489,0.57007,1.04884,0.92053,0,0.41857,0.57085,0.50266,0.45832,0.4215,0.57486,0.50435,0.45905,0.46262,0.79443,1.19024,0.93171,0,0.000781033,0.000781033,0.000781033
32,1882.49,0.45742,0.61504,1.08349,0.92162,0,0.43623,0.55406,0.49512,0.44982,0.43798,0.55906,0.49604,0.44938,0.47718,0.8114,1.24519,0.95535,0,0.000770034,0.000770034,0.000770034
33,1945.63,0.43477,0.60983,1.04895,0.91365,0,0.28963,0.59027,0.42566,0.39388,0.29294,0.59836,0.43029,0.39697,0.47091,0.91318,1.42682,0.94075,0,0.000759035,0.000759035,0.000759035
34,2006.48,0.45524,0.62362,1.08286,0.91528,0,0.3236,0.63003,0.47315,0.42074,0.32595,0.62711,0.47353,0.419,0.48022,0.83931,1.27563,0.94742,0,0.000748036,0.000748036,0.000748036
35,2067.84,0.43905,0.54781,1.0517,0.90205,0,0.41852,0.54713,0.50958,0.44798,0.39369,0.5646,0.50447,0.45141,0.49355,0.8059,1.31843,0.95202,0,0.000737037,0.000737037,0.000737037
36,2128.98,0.45994,0.58905,1.07312,0.9133,0,0.50767,0.57917,0.5597,0.49495,0.50767,0.57917,0.55671,0.49362,0.46856,0.87398,1.18488,0.95873,0,0.000726038,0.000726038,0.000726038
37,2190.23,0.46441,0.61558,1.05773,0.91773,0,0.38114,0.65864,0.498,0.45665,0.38127,0.65655,0.49705,0.44991,0.43054,0.80902,1.20836,0.92385,0,0.00071504,0.00071504,0.00071504
